Date,1m,3m,6m,12m
20/08/2012,7.7696,7.3872,7.2881,7.6435
21/08/2012,7.7545,7.3754,7.2778,7.6311
22/08/2012,7.7351,7.3773,7.2981,7.6689
23/08/2012,7.7166,7.3715,7.3096,7.7047
24/08/2012,7.6906,7.3809,7.3395,7.7235
25/08/2012,7.6906,7.3809,7.3395,7.7235
26/08/2012,7.6906,7.3809,7.3395,7.7235
27/08/2012,7.6719,7.3419,7.2873,7.6632
28/08/2012,7.6472,7.3214,7.2513,7.5998
29/08/2012,7.6094,7.2767,7.1979,7.54
30/08/2012,7.6094,7.2767,7.1979,7.54
31/08/2012,7.5461,7.3049,7.2771,7.6293
01/09/2012,7.5461,7.3049,7.2771,7.6293
02/09/2012,7.5461,7.3049,7.2771,7.6293
03/09/2012,7.5713,7.2942,7.2343,7.5633
04/09/2012,7.5308,7.3099,7.2737,7.5945
05/09/2012,7.4698,7.3061,7.2989,7.6134
06/09/2012,7.474,7.3099,7.3069,7.6349
07/09/2012,7.474,7.3099,7.3069,7.6349
08/09/2012,7.474,7.3099,7.3069,7.6349
09/09/2012,7.474,7.3099,7.3069,7.6349
10/09/2012,7.5303,7.3363,7.3129,7.6396
11/09/2012,7.5536,7.3483,7.3121,7.6241
12/09/2012,7.5315,7.3459,7.3101,7.6056
13/09/2012,7.5226,7.3317,7.2889,7.5847
14/09/2012,7.4791,7.332000000000001,7.3113,7.5984
15/09/2012,7.4791,7.332000000000001,7.3113,7.5984
16/09/2012,7.4791,7.332000000000001,7.3113,7.5984
17/09/2012,7.4531,7.3397,7.3431,7.63
18/09/2012,7.4527,7.3406,7.3518,7.6552
19/09/2012,7.4097,7.3217,7.3555,7.6751
20/09/2012,7.4241,7.3234,7.3432,7.6462
21/09/2012,7.4262,7.3108,7.3198,7.6216
